Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	CL:0001060	IAO:0000115	A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities. Cell lacks hematopoeitic lineage markers.	
ERROR	duplicate_definition	CL:0002032	IAO:0000115	A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities. Cell lacks hematopoeitic lineage markers.	
ERROR	duplicate_definition	UBERON:0001606	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0007690	IAO:0000115	.	
ERROR	duplicate_definition	UBERON:0010291	IAO:0000115	.	
ERROR	duplicate_definition	http://purl.obolibrary.org/obo/uberon/core#transitively_anteriorly_connected_to	IAO:0000115	.	
ERROR	multiple_equivalent_classes	UBERON:0004461	owl:equivalentClass	be7cb9d0285f81bdf6118e3016d449b1	
ERROR	multiple_equivalent_classes	UBERON:0004461	owl:equivalentClass	cc8aeae1394f4c1c152ea256ad90ded6	
ERROR	missing_label	http://purl.obolibrary.org/obo/uberon/core#upper_level	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/ubprop#_upper_level	rdfs:label		
ERROR	deprecated_class_reference	RO:0002218	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	pcl.owl	dc11:description		
ERROR	duplicate_label	CARO:0000014	rdfs:label	cell part@en	
ERROR	duplicate_label	GO:0044464	rdfs:label	cell part@en	
ERROR	duplicate_label	CL:0000000	rdfs:label	cell	
ERROR	duplicate_label	GO:0005623	rdfs:label	cell	
ERROR	multiple_definitions	BFO:0000062	IAO:0000115	X preceded_by Y iff: end(Y) before_or_simultaneous_with start(X)	
ERROR	multiple_definitions	BFO:0000062	IAO:0000115	x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.@en	
ERROR	multiple_definitions	RO:0002131	IAO:0000115	A overlaps B if they share some part in common.	
ERROR	multiple_definitions	RO:0002131	IAO:0000115	x overlaps y if and only if there exists some z such that x has part z and z part of y	
ERROR	multiple_definitions	RO:0002211	IAO:0000115	process(P1) regulates process(P2) iff: P1 results in the initiation or termination of P2 OR affects the frequency of its initiation or termination OR affects the magnitude or rate of output of P2.	
ERROR	multiple_definitions	RO:0002211	IAO:0000115	x regulates y if and only if the x is the realization of a function to exert an effect on the frequency, rate or extent of y	
ERROR	multiple_definitions	RO:0002212	IAO:0000115	Process(P1) negatively regulates process(P2) iff: P1 terminates P2, or P1 descreases the the frequency of initiation of P2 or the magnitude or rate of output of P2.	
ERROR	multiple_definitions	RO:0002212	IAO:0000115	x negatively regulates y if and only if the progression of x reduces the frequency, rate or extent of y	
ERROR	multiple_definitions	RO:0002213	IAO:0000115	Process(P1) postively regulates process(P2) iff: P1 initiates P2, or P1 increases the the frequency of initiation of P2 or the magnitude or rate of output of P2.	
ERROR	multiple_definitions	RO:0002213	IAO:0000115	x positively regulates y if and only if the progression of x increases the frequency, rate or extent of y	
ERROR	multiple_definitions	RO:0002385	IAO:0000115	x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y	
ERROR	multiple_definitions	RO:0002385	IAO:0000115	x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y@en	
ERROR	multiple_definitions	RO:0002387	IAO:0000115	x has the potential to develop into y iff x develops into y or if x is capable of developing into y	
ERROR	multiple_definitions	RO:0002387	IAO:0000115	x has the potential to develop into y iff x develops into y or if x is capable of developing into y@en	
ERROR	multiple_definitions	RO:0002388	IAO:0000115	x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y	
ERROR	multiple_definitions	RO:0002388	IAO:0000115	x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y@en	
ERROR	multiple_definitions	RO:0002608	IAO:0000115	Inverse of 'causal agent in process'	
ERROR	multiple_definitions	RO:0002608	IAO:0000115	Inverse of 'causal agent in'	
ERROR	multiple_definitions	UBERON:0004461	IAO:0000115	Any collection of muscles that is part of a head [Automatically generated definition].	
ERROR	multiple_definitions	UBERON:0004461	IAO:0000115	Any collection of skeletal muscles that is part of a head [Automatically generated definition].	
ERROR	missing_ontology_license	pcl.owl	dc:license		
ERROR	missing_ontology_title	pcl.owl	dc11:title		
ERROR	multiple_labels	BFO:0000050	rdfs:label	part of	
ERROR	multiple_labels	BFO:0000050	rdfs:label	part of@en	
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part	
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part@en	
ERROR	multiple_labels	BFO:0000062	rdfs:label	preceded by@en	
ERROR	multiple_labels	BFO:0000062	rdfs:label	preceded_by	
ERROR	multiple_labels	BFO:0000063	rdfs:label	precedes	
ERROR	multiple_labels	BFO:0000063	rdfs:label	precedes@en	
ERROR	multiple_labels	BFO:0000067	rdfs:label	contains process	
ERROR	multiple_labels	BFO:0000067	rdfs:label	contains process@en	
ERROR	multiple_labels	CARO:0000003	rdfs:label	anatomical structure@en	
ERROR	multiple_labels	CARO:0000003	rdfs:label	connected anatomical structure@en	
ERROR	multiple_labels	CL:0000000	rdfs:label	cell	
ERROR	multiple_labels	CL:0000000	rdfs:label	cell@en	
ERROR	multiple_labels	CL:0000540	rdfs:label	neuron	
ERROR	multiple_labels	CL:0000540	rdfs:label	neuron@en	
ERROR	multiple_labels	GO:0005634	rdfs:label	nucleus	
ERROR	multiple_labels	GO:0005634	rdfs:label	nucleus@en	
ERROR	multiple_labels	GO:0044464	rdfs:label	cell part	
ERROR	multiple_labels	GO:0044464	rdfs:label	cell part@en	
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage	
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage@en	
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition	
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition@en	
ERROR	multiple_labels	IAO:0000116	rdfs:label	editor note	
ERROR	multiple_labels	IAO:0000116	rdfs:label	editor note@en	
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator note@en	
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator notes	
ERROR	multiple_labels	IAO:0000424	rdfs:label	expand expression to	
ERROR	multiple_labels	IAO:0000424	rdfs:label	expand expression to@en	
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of	
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of@en	
ERROR	multiple_labels	RO:0001015	rdfs:label	location of@en	
ERROR	multiple_labels	RO:0001015	rdfs:label	location_of	
ERROR	multiple_labels	RO:0001025	rdfs:label	located in@en	
ERROR	multiple_labels	RO:0001025	rdfs:label	located_in	
ERROR	multiple_labels	RO:0002087	rdfs:label	immediately preceded by@en	
ERROR	multiple_labels	RO:0002087	rdfs:label	immediately_preceded_by	
ERROR	multiple_labels	RO:0002131	rdfs:label	overlaps	
ERROR	multiple_labels	RO:0002131	rdfs:label	overlaps@en	
ERROR	multiple_labels	RO:0002180	rdfs:label	has component	
ERROR	multiple_labels	RO:0002180	rdfs:label	has component@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops from@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops_from	
ERROR	multiple_labels	RO:0002203	rdfs:label	develops into@en	
ERROR	multiple_labels	RO:0002203	rdfs:label	develops_into	
ERROR	multiple_labels	RO:0002215	rdfs:label	capable of	
ERROR	multiple_labels	RO:0002215	rdfs:label	capable of@en	
ERROR	multiple_labels	RO:0002216	rdfs:label	capable of part of	
ERROR	multiple_labels	RO:0002216	rdfs:label	capable of part of@en	
ERROR	multiple_labels	RO:0002254	rdfs:label	has developmental contribution from	
ERROR	multiple_labels	RO:0002254	rdfs:label	has developmental contribution from@en	
ERROR	multiple_labels	RO:0002255	rdfs:label	developmentally contributes to@en	
ERROR	multiple_labels	RO:0002255	rdfs:label	developmentally_contributes_to	
ERROR	multiple_labels	RO:0002258	rdfs:label	developmentally preceded by	
ERROR	multiple_labels	RO:0002258	rdfs:label	developmentally preceded by@en	
ERROR	multiple_labels	RO:0002328	rdfs:label	functionally related to	
ERROR	multiple_labels	RO:0002328	rdfs:label	functionally related to@en	
ERROR	multiple_labels	RO:0002329	rdfs:label	part of structure that is capable of	
ERROR	multiple_labels	RO:0002329	rdfs:label	part of structure that is capable of@en	
ERROR	multiple_labels	RO:0002352	rdfs:label	input of	
ERROR	multiple_labels	RO:0002352	rdfs:label	input of@en	
ERROR	multiple_labels	RO:0002385	rdfs:label	has potential to developmentally contribute to	
ERROR	multiple_labels	RO:0002385	rdfs:label	has potential to developmentally contribute to@en	
ERROR	multiple_labels	RO:0002387	rdfs:label	has potential to develop into	
ERROR	multiple_labels	RO:0002387	rdfs:label	has potential to develop into@en	
ERROR	multiple_labels	RO:0002388	rdfs:label	has potential to directly develop into	
ERROR	multiple_labels	RO:0002388	rdfs:label	has potential to directly develop into@en	
ERROR	multiple_labels	RO:0002500	rdfs:label	causal agent in	
ERROR	multiple_labels	RO:0002500	rdfs:label	causal agent in process	
ERROR	multiple_labels	RO:0002608	rdfs:label	has causal agent	
ERROR	multiple_labels	RO:0002608	rdfs:label	process has causal agent	
ERROR	multiple_labels	UBERON:0004461	rdfs:label	musculature of head	
ERROR	multiple_labels	UBERON:0004461	rdfs:label	skeletal musculature of head	
WARN	annotation_whitespace	186c21d3990f40c8be415291fe893d04	oboInOwl:source	DOI:10.1146/annurev.cellbio.22.010605.093317 Hartenstein V, Blood cells and blood cell development in the animal kingdom. Annual review of cell and developmental biology (2006) 	
WARN	annotation_whitespace	CL:0011115	rdfs:comment	Work is needed on GO 'cell differentiation' before it is clear whether the equivalent class definition 'native cell' that capable_of some 'cell differentiation' works. Also, may want to consider merging this with non-terminally differentiated cell. 	
