CLASS_TYPE	Genus	ID	Marker1	Marker2	Marker3	Marker4	Marker5	Marker6	Marker7	Marker8	Marker9	endothelial_region1	endothelial_region2	glia_region1	glia_region2	label	neuron_region1	neuron_region2
CLASS_TYPE	C %	ID	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %	C expresses some %		C 'located in' some %		C 'part of' some %	C 'part of' some %	A rdfs:label	C 'has soma location' some %	C 'has soma location' some %
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL1	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:11773	http://identifiers.org/genecards/LOC101927870							TGFBR2-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL2	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:19196	http://identifiers.org/hgnc/HGNC:51163							SP8-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL3	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:26256	http://identifiers.org/hgnc/HGNC:30670							NDNF-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL4	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:6342	http://identifiers.org/hgnc/HGNC:27652							KIT-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL5	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:27652	http://identifiers.org/hgnc/HGNC:16231							CPLX3-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL6	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:3522	http://identifiers.org/hgnc/HGNC:26086							EYA4-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL7	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:26766	http://identifiers.org/hgnc/HGNC:10725	http://identifiers.org/hgnc/HGNC:10640						ANKFN1-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL8	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:26388	http://identifiers.org/hgnc/HGNC:15478							ARHGAP36-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL9	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:13604	http://identifiers.org/hgnc/HGNC:30670	http://identifiers.org/hgnc/HGNC:15723	http://identifiers.org/genecards/LOC105377436							BAGE2-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL10	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:2159	http://identifiers.org/hgnc/HGNC:31822								CNR1-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL11	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:2705	http://identifiers.org/hgnc/HGNC:51307								DCN-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL12	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/genecards/LOC101928923	http://identifiers.org/hgnc/HGNC:26821								CCDC141-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL13	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:16814	http://identifiers.org/hgnc/HGNC:14268								DACH2-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL14	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:25149	http://identifiers.org/genecards/LOC105371331								EGFEM1P-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL15	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:8742	http://identifiers.org/hgnc/HGNC:5476								PCP4|IGFBP7-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL16	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:6111	http://identifiers.org/hgnc/HGNC:17265								IQGAP2-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL17	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:484	http://identifiers.org/hgnc/HGNC:12693								ANGPT1-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL18	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:11521	http://identifiers.org/hgnc/HGNC:13010	http://identifiers.org/hgnc/HGNC:51425							TAC3|TSHZ2-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL19	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/hgnc/HGNC:11521	http://identifiers.org/hgnc/HGNC:2192								TAC3|COL15A1-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
equivalent	CL:0011005	http://www.jcvi.org/cl_ext/mtg_cluster/pCL20	http://identifiers.org/hgnc/HGNC:4093	http://identifiers.org/genecards/LOC105375415	http://identifiers.org/hgnc/HGNC:10640	http://identifiers.org/hgnc/HGNC:12693	http://identifiers.org/genecards/LOC100421401	http://identifiers.org/genecards/LOC101060145								LOC100421401-expressing human cerebral cortex MTG GABAergic interneuron	UBERON:0002771	UBERON:0000956
